date,location,block,pasture,patch,subpatch,plot,array,arrayID,sample,LAI,SoilMoisture,FuelMoisture,burned
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,2,2,NA,NA,37.6,0.296218487,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,2,3,NA,NA,39.3,0.291721419,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,3,1,NA,NA,40.7,0.182857143,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,3,2,NA,NA,39,0.224040921,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,1,3,3,NA,NA,38.7,0.235367372,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,1,1,NA,NA,35.4,0.179289026,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,1,2,NA,NA,33.4,0.197407777,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,1,3,NA,NA,35.7,0.204610951,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,2,1,NA,NA,34.8,0.416044776,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,2,2,NA,NA,30.1,0.337209302,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,2,3,NA,NA,30.4,0.315969257,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,3,1,NA,NA,0.7,0.308587068,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,3,2,NA,NA,0.74,0.356756757,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,2,3,3,NA,NA,0.79,0.325870647,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,1,1,NA,NA,30.9,0.326438511,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,1,2,NA,NA,32.3,0.249373434,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,1,3,NA,NA,32,0.424951267,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,2,1,NA,NA,29.8,0.269581056,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,2,2,NA,NA,23.7,0.487947407,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,2,3,NA,NA,28.7,0.313784247,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,3,1,NA,NA,31.2,0.18134982,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,3,2,NA,NA,25.1,0.681241185,
2019-05-13T00:00:00Z,CGREC,BAR,SE,SW,E,3,3,3,NA,NA,29.5,0.320591862,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,1,1,NA,NA,NA,0.515463918,
2019-05-13T00:00:00Z,CGREC,BOB,SE,SE,W,1,1,2,NA,NA,NA,0.409405256,
