LoggerID,Date,TimeStamp,1,2,3,4
4,5/7/2019,10:56:33.1,19.25,18,23,24.12
4,5/7/2019,10:56:34.0,19.25,18,23,24.44
4,5/7/2019,10:56:34.1,19.25,17.75,23.25,24.44
4,5/7/2019,10:56:35.0,19.25,17.75,23.25,24.12
4,5/7/2019,10:56:36.0,19.25,17.75,23,24.44
4,5/7/2019,10:56:36.1,19.5,17.5,23.25,24.77
4,5/7/2019,10:56:37.0,19.5,17.5,23.25,24.12
4,5/7/2019,10:56:37.1,19.5,17.75,23.25,24.12
4,5/7/2019,10:56:38.0,19.5,17.75,23.25,24.44
4,5/7/2019,10:56:38.1,19.5,17.75,23.25,24.12
4,5/7/2019,10:56:39.0,19.5,17.75,23.5,24.77
4,5/7/2019,10:56:39.1,19.5,17.75,23.5,24.12
4,5/7/2019,10:56:40.0,19.75,17.5,23.75,24.12
4,5/7/2019,10:56:40.1,19.75,17.5,23.75,24.44
4,5/7/2019,10:56:41.0,19.5,17.5,23.75,24.12
4,5/7/2019,10:56:42.0,19.5,17.5,24,24.12
4,5/7/2019,10:56:42.1,19.5,17.5,24,24.12
4,5/7/2019,10:56:43.0,19.5,17.5,24,24.12
4,5/7/2019,10:56:43.1,19.5,17.5,24.25,24.12
4,5/7/2019,10:56:44.0,19.5,17.75,24.25,24.12
4,5/7/2019,10:56:44.1,19.5,17.75,24,24.44
4,5/7/2019,10:56:45.0,19.5,17.75,24.25,24.12
4,5/7/2019,10:56:45.1,19.5,17.75,24.25,24.12
4,5/7/2019,10:56:46.0,19.5,17.75,24.25,24.12
4,5/7/2019,10:56:46.1,19.5,17.75,24.25,23.8
4,5/7/2019,10:56:47.0,19.5,17.75,24.25,24.44
4,5/7/2019,10:56:48.0,19.25,17.75,24.25,24.44
4,5/7/2019,10:56:48.1,19.5,17.5,24.25,24.12
4,5/7/2019,10:56:49.0,19.5,17.75,24.5,24.12
4,5/7/2019,10:56:49.1,19.5,17.5,24.5,24.12
4,5/7/2019,10:56:50.0,19.5,17.75,24.5,24.12
