FireCode,location,block,pasture,patch,year,JD,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,MaxWindSpeed,WindSpeed,RH,VPD,ros,SoilMaxC,tHa
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,2,2,21.31,5.49,38.2,0.52,117.4166667,17.65772237,9.765499392,35.63,16.32575414,0.665299144,18.5,2.475733333
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,2,3,21.31,5.49,34.85666667,1.97,126.0833333,17.65772237,9.765499392,35.63,16.32575414,0.944754986,24.75,0.388266667
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,3,1,21.31,5.49,26.92666667,2.6,91.16666667,17.65772237,9.765499392,35.63,16.32575414,0.400844146,NA,2.254933333
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,3,2,21.31,5.49,25.69,1.03,183.25,17.65772237,9.765499392,35.63,16.32575414,0.38961039,NA,2.22187
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,135,3,3,21,5.41,37.97666667,1.223333333,150.9166667,17.23768358,8.737933248,36.12,15.89820693,0.282312046,47.25,1.938666667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,1,1,19.89,-0.92,11.38666667,0.453333333,272.0833333,25.10415706,12.78301939,24.77,17.51774536,1.216327281,377.75,2.468266667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,1,2,19.89,-0.92,10.46,0.846666667,464.9166667,25.10415706,12.78301939,24.77,17.51774536,19.63961012,275.75,2.836266667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,2,1,19.89,-0.92,6.556666667,0.856666667,375.5833333,25.10415706,12.78301939,24.77,17.51774536,4.803844614,540.25,2.366933333
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,2,3,20.04333333,-0.6,4.746666667,0.753333333,359.5,26.22805235,12.8343398,25.10333333,17.603867,0.519615242,347.75,3.340266667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,3,1,19.89,-0.92,10.53333333,0.46,496.6666667,25.10415706,12.78301939,24.77,17.51774536,17.32050808,129.25,2.6096
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,3,2,19.89,-0.92,8.096666667,1.183333333,495.5,25.10415706,12.78301939,24.77,17.51774536,12.99038106,309,3.4096
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,123,3,3,19.89,-0.92,13.06333333,0.48,302.6666667,25.10415706,12.78301939,24.77,17.51774536,12.99038106,283.75,1.318933333
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,1,1,16.46,6.03,16.57333333,0.95,184.75,32.8048681,18.79552858,50.15,9.355967668,0.798275224,142.25,3.348266667
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,1,2,16.46,6.03,24,0.596666667,210.5,32.8048681,18.79552858,50.15,9.355967668,0.616106056,29.6,2.174933333
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,1,3,16.46,6.03,22.37333333,0.493333333,317.5,32.8048681,18.79552858,50.15,9.355967668,0.8807038,31.86,3.140266667
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,2,1,16.73,5.78,26.15,0.486666667,156.75,33.21927418,19.06589837,48.47,9.841181677,0.105150591,23,1.158933333
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,2,3,16.73,5.78,18.10333333,0.613333333,237.6666667,33.21927418,19.06589837,48.47,9.841181677,2.399360256,86,3.0576
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,3,2,16.46,6.03,26.28333333,2.01,181,32.8048681,18.79552858,50.15,9.355967668,9.332565253,94.5,1.364266667
CG.BOB.SE.NEW.18,CG,BOB,SE,NEW,18,122,3,3,16.46,6.03,21.61333333,1.58,159.9166667,32.8048681,18.79552858,50.15,9.355967668,0.978318664,27.99,1.278933333
CG.BOB.SE.SEW.19,CG,BOB,SE,SEW,19,133,1,1,21.11,7.88,43.13,0.28,44.17,34.823,24.2496,42.49,14.41,NA,NA,0.94987
CG.BOB.SE.SEW.19,CG,BOB,SE,SEW,19,133,2,1,21.275,7.86,25.19,3.386666667,203.25,35.54397158,23.31617587,42.005,14.67117593,3.740272357,NA,2.48
CG.BOB.SE.SEW.19,CG,BOB,SE,SEW,19,133,2,2,21.275,7.86,18.51666667,1.256666667,155.9166667,35.54397158,23.31617587,42.005,14.67117593,0.727820972,13.75,3.539733333
