Logger_ID,Date,Time_Stamp,1,2,3,4
R2,10/7/2019,16:02:16.1,23.25,24.25,25.75,28.63
R2,10/7/2019,16:02:17.0,23.25,24.25,25.75,28.96
R2,10/7/2019,16:02:17.1,23.25,24.25,25.75,28.31
R2,10/7/2019,16:02:18.0,23.25,24.25,25.75,28.63
R2,10/7/2019,16:02:18.1,23.5,24.25,25.75,28.96
R2,10/7/2019,16:02:19.0,23.5,24.25,26,28.63
R2,10/7/2019,16:02:20.0,23.5,24.25,26,28.63
R2,10/7/2019,16:02:20.1,23.5,24.25,26,28.63
R2,10/7/2019,16:02:21.0,23.5,24.25,26,28.63
R2,10/7/2019,16:02:21.1,23.5,24.25,26,28.96
R2,10/7/2019,16:02:22.0,23.5,24.25,26,28.31
R2,10/7/2019,16:02:22.1,23.5,24.25,25.75,28.63
R2,10/7/2019,16:02:23.0,23.5,24.25,25.75,28.31
R2,10/7/2019,16:02:23.1,23.5,24.25,25.75,28.63
R2,10/7/2019,16:02:24.0,23.5,24,25.75,28.63
R2,10/7/2019,16:02:24.1,23.5,24.25,25.75,28.31
R2,10/7/2019,16:02:25.0,23.5,24.25,25.75,28.96
R2,10/7/2019,16:02:26.0,23.5,24.25,25.75,28.63
R2,10/7/2019,16:02:26.1,23.5,24.25,25.75,28.63
R2,10/7/2019,16:02:27.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:27.1,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:28.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:28.1,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:29.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:29.1,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:30.0,23.5,24.25,25.5,28.31
R2,10/7/2019,16:02:30.1,23.5,24.25,25.5,28.31
R2,10/7/2019,16:02:31.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:32.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:02:32.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:33.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:33.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:34.0,23.5,24,25.5,28.63
R2,10/7/2019,16:02:34.1,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:35.0,23.5,23.75,25.25,28.31
R2,10/7/2019,16:02:35.1,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:36.0,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:36.1,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:37.0,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:38.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:38.1,23.5,23.75,25.5,27.99
R2,10/7/2019,16:02:39.0,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:39.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:40.0,23.5,24,25.5,28.63
R2,10/7/2019,16:02:40.1,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:41.0,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:41.1,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:42.0,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:42.1,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:43.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:43.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:44.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:45.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:45.1,23.5,24,25.5,28.63
R2,10/7/2019,16:02:46.0,23.5,24,25.5,27.99
R2,10/7/2019,16:02:46.1,23.5,24,25.5,28.63
R2,10/7/2019,16:02:47.0,23.5,23.75,25.5,28.31
R2,10/7/2019,16:02:47.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:48.0,23.25,24,25.5,28.63
R2,10/7/2019,16:02:48.1,23.5,23.75,25.5,28.63
R2,10/7/2019,16:02:49.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:49.1,23.25,24,25.5,28.31
R2,10/7/2019,16:02:50.0,23.5,24,25.5,27.99
R2,10/7/2019,16:02:51.0,23.5,23.75,25.25,28.63
R2,10/7/2019,16:02:51.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:52.0,23.5,24,25.5,28.63
R2,10/7/2019,16:02:52.1,23.25,24,25.5,28.63
R2,10/7/2019,16:02:53.0,23.5,24,25.5,28.63
R2,10/7/2019,16:02:53.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:54.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:54.1,23.5,24,25.5,28.63
R2,10/7/2019,16:02:55.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:55.1,23.5,24,25.5,28.31
R2,10/7/2019,16:02:56.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:57.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:57.1,23.5,24,25.5,28.63
R2,10/7/2019,16:02:58.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:58.1,23.5,24,25.5,28.63
R2,10/7/2019,16:02:59.0,23.5,24,25.5,28.31
R2,10/7/2019,16:02:59.1,23.5,24,25.5,28.31
R2,10/7/2019,16:03:00.0,23.5,24,25.75,27.99
R2,10/7/2019,16:03:00.1,23.5,24,25.75,28.31
R2,10/7/2019,16:03:01.0,23.5,24,25.75,27.99
R2,10/7/2019,16:03:01.1,23.5,24,25.5,28.63
R2,10/7/2019,16:03:02.0,23.5,24,25.5,28.31
R2,10/7/2019,16:03:02.1,23.5,24.25,25.5,27.99
R2,10/7/2019,16:03:03.0,23.5,24.25,25.5,28.63
R2,10/7/2019,16:03:04.0,23.5,24,25.25,28.31
R2,10/7/2019,16:03:04.1,23.5,24,25.25,28.31
