Logger_ID,Date,Time_Stamp,1,2,3,4,5,6,7
Y3,10/8/2019,0:00:03.0,21.5,21,21.75,22.5,nan,nan,17.03
Y3,10/8/2019,0:00:03.1,21.75,21,21.75,22.5,nan,nan,16.39
Y3,10/8/2019,0:00:04.0,21.5,21,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:05.0,21.5,21,21.75,22.5,nan,nan,16.06
Y3,10/8/2019,0:00:06.0,21.5,21,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:06.1,21.5,20.75,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:07.0,21.5,21,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:08.0,21.5,20.75,21.75,22.5,nan,nan,16.39
Y3,10/8/2019,0:00:09.0,21.5,20.75,21.75,22.5,nan,nan,15.74
Y3,10/8/2019,0:00:09.1,21.5,20.75,21.75,22.5,nan,nan,16.06
Y3,10/8/2019,0:00:10.0,21.5,20.75,21.75,22.5,nan,nan,16.39
Y3,10/8/2019,0:00:11.0,21.5,20.75,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:12.0,21.5,20.75,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:12.1,21.5,20.75,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:13.0,21.5,20.5,21.75,22.5,nan,nan,16.71
Y3,10/8/2019,0:00:14.0,21.5,20.5,21.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:14.1,21.5,20.5,21.75,22.5,nan,nan,17.03
Y3,10/8/2019,0:00:15.0,21.5,20.5,21.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:16.0,21.5,20.5,21.75,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:17.0,21.5,20.5,21.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:17.1,21.5,20.5,21.75,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:18.0,21.5,20.5,21.75,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:19.0,21.5,20.5,21.75,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:20.0,21.5,20.5,21.75,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:20.1,21.5,20.5,21.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:21.0,21.5,20.25,21.75,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:22.0,21.5,20.25,21.75,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:23.0,21.5,20.25,21.75,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:23.1,21.5,20.25,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:24.0,21.5,20.25,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:25.0,21.5,20.25,22,22.25,nan,nan,16.39
Y3,10/8/2019,0:00:26.0,21.5,20.25,22,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:26.1,21.5,20.25,22,22.25,nan,nan,17.03
Y3,10/8/2019,0:00:27.0,21.5,20,22,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:28.0,21.5,20,22,22.25,nan,nan,17.03
Y3,10/8/2019,0:00:28.1,21.5,20,22,22.25,nan,nan,16.06
Y3,10/8/2019,0:00:29.0,21.25,20,22,22.25,nan,nan,16.71
Y3,10/8/2019,0:00:30.0,21.25,20,22,22.25,nan,nan,16.06
